Site,Condition,Bird,UnitTemp,Date,Time,AntennaNum,Notes
861Ogletree,BF,3B0018244A,21,18/10/2024,12:53:52,1,
861Ogletree,BF,3B0018244A,21.2,18/10/2024,12:58:34,1,
861Ogletree,BF,3B0018244A,26,20/10/2024,13:23:06,1,
861Ogletree,BF,3B0018244A,16.9,21/10/2024,10:08:22,1,
861Ogletree,BF,3B0018244A,25.7,21/10/2024,17:35:13,1,
1157Jenkins,BF,3B00183A58,30.3,5/10/2024,14:04:18,1,
1157Jenkins,BF,3B00183A58,30.3,5/10/2024,14:31:07,1,
1157Jenkins,BF,3B00183A58,30.1,5/10/2024,14:38:38,1,
1157Jenkins,BF,3B00183A58,27.6,5/10/2024,17:08:12,1,
1157Jenkins,BF,3B00183A58,30.9,7/10/2024,13:18:57,1,
1157Jenkins,BF,3B00183A58,16.1,12/10/2024,8:46:50,1,
1157Jenkins,BF,3B00183A58,26.4,12/10/2024,14:28:49,1,
1157Jenkins,BF,3B00183A58,27.2,12/10/2024,15:04:50,1,
1157Jenkins,BF,3B00183A58,29,12/10/2024,16:52:37,1,
1157Jenkins,BF,3B00183A58,33,14/08/2024,11:58:44,1,
1157Jenkins,BF,3B00183A58,32.5,19/09/2024,16:18:38,1,
1157Jenkins,BF,3B00183A58,32.5,19/09/2024,16:18:38,1,
1157Jenkins,BF,3B00183A58,33.8,24/09/2024,13:40:39,1,
1157Jenkins,BF,3B00183A58,33.8,24/09/2024,13:40:39,1,
1157Jenkins,BF,3B00183A58,21.6,26/08/2024,7:46:00,1,Dates/times wrong
1157Jenkins,BF,3B00183A58,33.6,27/08/2024,11:05:11,1,
1157Jenkins,BF,3B00183A58,33.6,27/08/2024,11:05:18,1,
1157Jenkins,BF,3B00183A58,20.8,28/09/2024,8:05:40,1,Dates/times wrong
1157Jenkins,BF,3B00183A58,20.8,28/09/2024,8:05:40,1,
1157Jenkins,BF,3B00184CBD,28.3,23/08/2024,10:47:23,1,
1157Jenkins,BF,3B00184CBD,28.3,23/08/2024,10:47:37,1,
1157Jenkins,BF,3B00184CBD,28.3,23/08/2024,10:47:42,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:09:35,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:09:40,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:09:46,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:10:17,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:10:22,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:11:15,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:12:45,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:12:51,1,
1157Jenkins,BF,3B00184CBD,29,23/08/2024,11:12:58,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:15:45,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:15:50,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:15:55,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:16:02,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:16:08,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:16:29,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:17:38,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:17:45,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:17:56,1,
1157Jenkins,BF,3B00184CBD,31.1,23/08/2024,13:18:17,1,
1157Jenkins,BF,3B00184CBD,30.4,24/08/2024,11:40:30,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:44:35,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:44:40,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:44:45,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:44:50,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:44:55,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:45:01,1,
