Date Sample Collected,Bird ID,Site,Date processing started,Experimenter,BPW Incubation,Chromo Incubation,Positive?,"Salm, E.Coli or Both?",McConkey Incubation,SalmPositiveQuads,Slant Incubation,SlantLocation,ViralResults,SalmResults,Notes
10-Jun-25,3011-99786,1011LeeRd,28-Aug-25,KM,8/28/25 9:45,8/29/25 13:15,N,NA,NA,NA,NA,NA,,,Starting new Cornell protocol 28 Aug 2025
10-Jun-25,3011-99790,1011LeeRd,28-Aug-25,KM,8/28/25 9:45,8/29/25 13:15,N,NA,NA,NA,NA,NA,,,
12-Jun-25,3171-38515,Paint Rock,28-Aug-25,KM,8/28/25 9:45,8/29/25 13:15,N,NA,NA,NA,NA,NA,,,
7-Aug-25,3010-60030,Fisheries 1,28-Aug-25,KM,8/28/25 9:45,8/29/25 13:15,N,NA,NA,NA,NA,NA,,,
12-Jun-25,1352-66742,Paint Rock,28-Aug-25,KM,8/28/25 9:45,8/29/25 13:15,Y,Both,9/2/25 10:25,"1,2,3",e. coli: 2 Sept 2025 10:25; salm: 4 Sept 2025 9:15,e.coli: fridge box; salm: fridge box,,,
10-Jun-25,3011-99757,1011LeeRd,28-Aug-25,KM,8/28/25 9:45,8/29/25 13:15,Y,E.Coli,NA,NA,9/2/25 10:25,e.coli: fridge box,,,Not sure if colonies grew?
10-Jun-25,3011-99791,1011LeeRd,8-Sep-25,"KM, GS, LW",9/8/25 9:25,                  9 Sept 2025 18:00,N,NA,NA,NA,NA,NA,,,
28-May-25,3171-38514,Ogletree,8-Sep-25,"KM, GS, LW",9/8/25 9:25,                  9 Sept 2025 18:00,N,NA,NA,NA,NA,NA,,,
26-Feb-25,3011-99764,Marler,8-Sep-25,"KM, GS, LW,AF",9/8/25 9:25,                  9 Sept 2025 18:00,Y,Salm,11 Sept 2025  12:15pm,ALL,9/12/25 13:08,,,,
14-May-25,3011-99782,Practicum,8-Sep-25,"KM, GS, LW",9/8/25 9:25,                  9 Sept 2025 18:00,N,NA,NA,NA,NA,NA,,,
28-May-25,3010-60003,Ogletree,8-Sep-25,"KM, GS, LW",9/8/25 9:25,                  9 Sept 2025 18:00,N,NA,NA,NA,NA,NA,,,
14-May-25,3011-99784,Practicum,12-Sep-25,AF,9/11/25 12:47,9/12/25 13:08,Y,E.Coli,NA,NA,9/14/25 13:08,e.coli: fridge box,,,
10-Jun-25,3011-99789,1011LeeRd,11-Sep-25,AF,9/11/25 12:47,9/12/25 13:08,Y,Salm,14 Sept 2025 1:30pm,"1,2",,,,,
10-Jun-25,3011-99788,1011LeeRd,12-Sep-25,AF,9/11/25 12:47,9/12/25 13:08,Y,E.Coli,NA,NA,9/14/25 13:08,,,,
14-May-25,3010-60021,Practicum,12-Sep-25,AF,9/11/25 12:47,9/12/25 13:08,N,NA,NA,NA,NA,,,,
28-May-25,1352-66739,Ogletree,12-Sep-25,AF,9/11/25 12:47,9/12/25 13:08,N,NA,NA,NA,NA,,,,
19-Sep-25,3171-38501,204 Lee Rd,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,N,NA,NA,NA,NA,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
28-Aug-25,3011-99777,Evergreen,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,N,NA,NA,NA,NA,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
28-Aug-25,3011-99776,Evergreen,30-Sep-25,KM,9/30/25 8:55,10/1/25 14:40,N,NA,NA,NA,NA,,,,"Need to redo - Incubator = 35C. Checked 2 Oct, very little growth, left for another day. 3 Oct, still very little growth."
