Experimenter,Bird ID,Date Sample Collected,Date processing started,Positive?,"Salm., E.Coli or Both?",Test,Notes,,Location,Dates Processed,Amount sample,,,
AF,3011-99706,17-Apr-24,,Y,Both,Chromo Plate,Developed green and purple colonies on day 2,,Ani's lab,"3-Sept-2024, 4-Sept-2024",?,,,
GS,1352-66714,13-Aug-24,21-Nov-24,Y,Both,Chromo Plate,BPW tubes in incubator 11/21 at 12:35 PM,,Ani's lab,"3-Sept-2024, 4-Sept-2024",0.04,,,
GS,126 Alice St,24-Sep-24,3-Oct-24,Y,Both,Chromo Plate,Purple and green colonies,,Cornell,"3-Sept-2024, 4-Sept-2024, 5-Sept-2024",0.04,,,
AF,1352-66701,12-May-23,,Y,Both,Chromo Plate,Plate has purple and green colonies,Poo tube mislabeled as 1352-66071,Ani's lab,"9-Sept-2024, 10-Sept-2024",?,,,
AF,Lee Rd,16-Oct-24,,Y,Both,Chromo Plate,Plate tested positive for both colonies of Salm. and E. Coli ,,Ani's lab,"9-Sept-2024, 10-Sept-2024",?,,,
GS,3010-60001,25-Mar-24,21-Nov-24,Y,E.Coli,Chromo Plate,BPW tubes in incubator 11/21 at 12:35 PM,,Ani's lab,"9-Sept-2024, 10-Sept-2024, 12-Sept-24",?,,,
GS,1352-66709,11-Jun-24,,Y,E.Coli,Chromo Plate,,,Ani's lab,"9-Sept-2024, 10-Sept-2024",0.03,,,
AF,3011-99711,12-Jun-24,,Y,E.Coli,Chromo Plate,,,Ani's lab,"9-Sept-2024, 10-Sept-2024",,,,
GS,3011-99723,15-Jul-24,,Y,E.Coli,Chromo Plate,,,Ani's lab,"9-Sept-2024, 10-Sept-2024, 12-Sept-24",,,,
AF,3011-99726,15-Jul-24,,Y,E.Coli,Chromo Plate,,,Ani's lab,"9-Sept-2024, 10-Sept-2024",0.03,,,
GS,3011-99742,6-Aug-24,,Y,E.Coli,Chromo Plate,ID and Date wrong on photo ,,Ani's lab,"9-Sept-2024, 10-Sept-2024",0.04,,,
AF,Evergreen Dr.,2-Oct-24,,Y,E.Coli,Chromo Plate,Very developed green colonies,,Ani's lab,"9-Sept-2024, 10-Sept-2024, 12-Sept-24",,,,
AF,Shadowwood Ln,3-Oct-24,,Y,E.Coli,Chromo Plate,Plate has green colonies. ,,Ani's lab,"9-Sept-2024, 10-Sept-2024",,,,
